a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"29025",7,"Perseverance","A dog teaches us fidelity and perseverance","",2500,"","{}",0,1212,"iap_banner_perseverance.webp","iap_banner_perseverance_asset.webp","","iap_banner_perseverance_asset.webp","","","","","",-1,0,"",""
"165",4,"Rubber Duck","* Exclusive Tournament prize","",4000,"","{}",1,60,"iap_rubberduck_item.webp","iap_rubberduck_preview.webp","iap_rubberduck_item_54x54.webp","iap_rubberduck_asset.png","#37363A","#EE710C","#EB520B","#549DF7","",-1,0,"",""
"4106",8,"Lunar Tigers","* Exclusive Ocho Tournament prize","",4000,"crazy8","{}",1,939,"iap_game_crazy8_lunartiger.webp","iap_game_crazy8_lunartiger_preview.webp","","","","","","","",1106,0,"",""
"60021",6,"Old PC","* Exclusive Tournament prize","",500,"","{}",1,70,"iap_badge_oldpc.webp","iap_badge_oldpc_preview.webp","iap_badge_oldpc_54x54.webp","","","","","","",-1,0,"",""
"60117",6,"Spooky Sheet*","The friendliest sheet you know","",500,"","{}",1,662,"iap_badge_spookysheet.webp","iap_badge_spookysheet_preview.webp","iap_badge_spookysheet_54x54.webp","","","","","","",-1,0,"",""
"20119",1,"Love Stamp**","Be like a postage stamp. Stick to one thing until you get there.","",7000,"","{}",1,1004,"iap_frame_lovestamp.webp","iap_frame_lovestamp_preview.webp","","iap_frame_lovestamp_350x350.webp","","","","","",-1,0,"","over"
"60154",6,"Dragon Dance","* Exclusive Tournament prize","",500,"","{}",1,946,"iap_badge_dragondance.webp","iap_badge_dragondance_preview.webp","iap_badge_dragondance_54x54.webp","","","","","","",-1,0,"",""
"60172",6,"Aries*","Born between March 21 - April 19","",250,"","{}",1,1080,"iap_badge_aries.webp","iap_badge_aries_preview.webp","iap_badge_aries_54x54.webp","","","","","","",-1,0,"",""
"204",2,"20\,000 Coins","20\,000 Coins","com.plato.android.coinsxl",0,"","{}",0,295,"iap_platocoins_bundle_xl_value.webp","iap_platocoins_bundle_xl_preview.webp","","","","","","","",-1,0,"",""
"955",7,"Midnight Howl*","Anything but a cry for help","",2500,"","{}",1,683,"iap_banner_midnighthowl.webp","iap_banner_midnighthowl_anim.webp","","iap_banner_midnighthowl_anim.webp","","","","","",-1,0,"",""
"8047",8,"Enchanted Rose**","Until the last petal falls","",4000,"bowling","{}",1,1533,"iap_game_bowling_ball_enchantedrose.webp","iap_game_bowling_ball_enchantedrose_preview.webp","","","","","","","",1047,0,"",""
"20059",1,"Ramadan Frame*","Ramadan Mubarak!","",1000,"","{}",1,292,"iap_frame_ramadan.webp","iap_frame_ramadan_preview.webp","","iap_frame_ramadan_350x350.webp","","","","","",-1,0,"","under"
"2101",8,"Sekhmet Cue*","Ready to destroy your enemies (special sound fx)","",2750,"pool","{}",1,612,"iap_game_pool_sekhmet.webp","iap_game_pool_sekhmet_preview.webp","","","","","","","",1101,0,"",""
"4002",8,"Cross Hatch","Get cross or keep it classy with the Cross Hatch card set in Ocho","",750,"crazy8","{}",0,388,"iap_game_crazy8_crosshatch.webp","iap_game_crazy8_crosshatch_preview.webp","","","","","","","",1002,0,"",""
"29097",7,"Eliminate Jane","Equip this banner to remove Jane from the Island","",1000,"","{}",1,1590,"iap_banner_xjane.webp","iap_banner_xjane_asset.webp","","iap_banner_xjane_asset.webp","","","","","",-1,0,"",""
"60198",6,"Angel in Disguise","Angels are often disguised as dogs","",250,"","{}",0,1198,"iap_badge_angeldog.webp","iap_badge_angeldog_preview.webp","iap_badge_angeldog_54x54.webp","","","","","","",-1,0,"",""
"60000",6,"Durian*","The king of fruits","",500,"","{}",1,4,"iap_badge_durian.webp","iap_badge_durian_preview.webp","iap_badge_durian_54x54.webp","","","","","","",-1,0,"",""
"60103",6,"Pretzel Badge*","Don't get it twisted","",500,"","{}",1,632,"iap_badge_pretzel.webp","iap_badge_pretzel_preview.webp","iap_badge_pretzel_54x54.webp","","","","","","",-1,0,"",""
"899",7,"Sisterhood","Stronger together","",500,"","{}",0,364,"iap_banner_sisterhood.webp","iap_banner_sisterhood_asset.webp","","iap_banner_sisterhood_asset.webp","","","","","",-1,0,"",""
"936",7,"Flying Dutchman","It's not safe to hide in Davy Jones' Locker","",1000,"","{}",0,877,"iap_banner_flyingdutchman.webp","iap_banner_flyingdutchman_asset.webp","","iap_banner_flyingdutchman_asset.webp","","","","","",-1,0,"",""
"2118",8,"Candy Cane Cue**","The cool\, retro candy that always comes back in style (special sound fx)","",6000,"pool","{}",1,791,"iap_game_pool_candycane.webp","iap_game_pool_candycane_preview.webp","","","","","","","",1118,0,"",""
"4025",8,"Penguins**","What's black and white and adorable all over?","",1000,"crazy8","{}",1,194,"iap_game_crazy8_penguins.png","iap_game_crazy8_penguins_preview.png","","","","","","","",1025,0,"",""
"617",6,"ROFL","lol... Show you DGAF with this collectable name badge","",250,"","{}",0,322,"iap_badge_rofl.webp","iap_badge_rofl_preview.webp","iap_badge_rofl_54x54.webp","","","","","","",-1,0,"",""
"60257",6,"Survival Monoscope**","Spot targets on the go with this monoscope","",500,"","{}",1,1573,"iap_badge_monoscope.webp","iap_badge_monoscope_preview.webp","iap_badge_monoscope_54x54.webp","","","","","","",-1,0,"",""
"689",6,"Samurai Cat*","He's ready for a fight","",500,"","{}",1,1165,"iap_badge_samuraicat.webp","iap_badge_samuraicat_preview.webp","iap_badge_samuraicat_54x54.webp","","","","","","",-1,0,"",""
"2502",8,"Imperial Table","Inspired by imperial design\, it is a magnificent masterpiece with exquisite dragon carvings","",6000,"pool","{}",0,917,"iap_game_pool_lny.webp","iap_game_pool_lny_preview.webp","","","","","","","",10002,0,"",""
"60043",6,"Purple Heels","* Exclusive Tournament prize","",1000,"","{}",1,484,"iap_badge_purpleheels.webp","iap_badge_purpleheels_preview.webp","iap_badge_purpleheels_54x54.webp","","","","","","",-1,0,"",""
"60190",6,"Sumac**","The symbol of sunrise","",500,"","{}",1,1148,"iap_badge_sumac.webp","iap_badge_sumac_preview.webp","iap_badge_sumac_54x54.webp","","","","","","",-1,0,"",""
"179",4,"Pumpkin Bubble*","Meet Jack of the Lantern","",2500,"","{}",1,673,"iap_halloween_item.webp","iap_halloween_preview.webp","iap_halloween_item_54x54.webp","iap_halloween_asset.png","#000000","#321006","#FFF8BA","#87F732","",-1,0,"",""
"715",6,"Caution","Slippery when wet","",500,"","{}",0,340,"iap_badge_caution.webp","iap_badge_caution_preview.webp","iap_badge_caution_54x54.webp","","","","","","",-1,0,"",""
"19066",4,"Minoan Shield","Built in the ancient city of Knossos more than 3\,000 years ago","",1500,"","{}",0,1715,"iap_minoanshield_item.webp","iap_minoanshield_preview.webp","iap_minoanshield_item_54x54.webp","iap_minoanshield_asset.png","#c70f1c","#202dcf","#202dcf","#fffd5a","",-1,1,"",""
"29005",7,"Arcana Whale","* Exclusive Tournament prize","",3500,"","{}",1,1094,"iap_banner_arcanawhale.webp","iap_banner_arcanawhale_asset.webp","","iap_banner_arcanawhale_asset.webp","","","","","",-1,0,"",""
"127",4,"Soda","Alley-oop! Turn your chat bubble into a Skateboard","",2500,"","{}",0,304,"iap_skateboard_item.webp","iap_skateboard_preview.webp","iap_skateboard_item_54x54.webp","iap_skateboard_asset.png","#FFFFFF","#A68CB3","#FAB527","#BFFF22","",-1,0,"",""
"640",6,"Pumpkin Pie*","Goes great with a pumpkin spice latte","",125,"","{}",1,125,"iap_badge_pumpkinpie.webp","iap_badge_pumpkinpie_preview.webp","iap_badge_pumpkinpie_54x54.webp","","","","","","",-1,0,"",""
"2144",8,"Fish Bone Cue","A great source of nutrients for cats","",3000,"pool","{}",0,1192,"iap_game_pool_fishbone.webp","iap_game_pool_fishbone_preview.webp","","","","","","","",1144,0,"",""
"9006",8,"Criminook","A medium attacking psychic monster who steals mana and berries from their opponent

*More details in the Monsterpedia","",2750,"match3battle","{}",0,462,"iap_game_match3battle_criminook.webp","iap_game_match3battle_criminook_preview.webp","","","","","","","",12020,0,"",""
"20137",1,"Dogs Frame","* Exclusive 2022 Cat vs Dog Prize!","",10000,"","{}",1,1185,"iap_frame_dogs.webp","iap_frame_dogs_preview.webp","","iap_frame_dogs_350x350.webp","","","","","",-1,0,"","over"
"677",6,"Friendly Cake","True friends give each other cakes","",500,"","{}",0,740,"iap_badge_cake.webp","iap_badge_cake_preview.webp","iap_badge_cake_54x54.webp","","","","","","",-1,0,"",""
"914",7,"Glossy Shark","* Exclusive Tournament prize","",1000,"","{}",1,213,"iap_banner_glossyshark.webp","iap_banner_glossyshark_asset.webp","","iap_banner_glossyshark_asset.webp","","","","","",-1,0,"",""
"2110",8,"Red Light\, Green Light*","Freeze!","",10000,"pool","{}",1,698,"iap_game_pool_redgreenlight.webp","iap_game_pool_redgreenlight_preview.webp","","","","","","","",1110,0,"",""
"8037",8,"Earthmender Ball**","Nourishes the land and balances ecosystems","",4000,"bowling","{}",1,1311,"iap_game_bowling_ball_earthmender.webp","iap_game_bowling_ball_earthmender_preview.webp","","","","","","","",1037,0,"",""
"2033",8,"Frankenstein*","Make big brain shots with this cue in Pool","",1500,"pool","{}",1,154,"iap_game_pool_frankenstein.webp","iap_game_pool_frankenstein_preview.webp","","","","","","","",1033,0,"",""
"128",4,"Salad","Blast off! Turn your chat bubble into a Galaxy","",1000,"","{}",0,715,"iap_spacebubble_item.webp","iap_spacebubble_preview.webp","iap_spacebubble_item_54x54.webp","iap_spacebubble_asset.png","#FFFFFF","#D4D2D8","#FFD69D","#F9BE34","",-1,0,"",""
"618",6,"Tokyo Drifter","Race & run in the 90s with Eurobeat","",1000,"","{}",0,344,"iap_badge_tokyodrifter3.webp","iap_badge_tokyodrifter3_preview.webp","iap_badge_tokyodrifter3_54x54.webp","","","","","","",-1,0,"",""
"681",6,"VR*","Reality redefined","",500,"","{}",1,111,"iap_badge_vr.webp","iap_badge_vr_preview.webp","iap_badge_vr_54x54.webp","","","","","","",-1,0,"",""
"774",6,"Goldfish**","For ongoing progress","",500,"","{}",1,1119,"iap_badge_goldfish.webp","iap_badge_goldfish_preview.webp","iap_badge_goldfish_54x54.webp","","","","","","",-1,0,"",""
"2103",8,"Germany Cue*","Einigkeit und Recht und Freiheit (special sound fx)","",2500,"pool","{}",1,640,"iap_game_pool_germany.webp","iap_game_pool_germany_preview.webp","","","","","","","",1103,0,"",""
"8006",8,"Diamond Ball","Dazzle your opponents with this Diamond Ball in Bowling","",5000,"bowling","{}",0,972,"iap_game_bowling_ball_diamond.webp","iap_game_bowling_ball_diamond_preview.webp","","","","","","","",1001,0,"",""
"1035",8,"Sabertooth Tigers","* Exclusive Table Soccer Tournament prize!","",5000,"tablesoccer","{}",1,469,"iap_game_tablesoccer_sabertooth.webp","iap_game_tablesoccer_sabertooth_preview.webp","","","","","","","",35,0,"",""
"4046",8,"Piñata Card*","Crack this card set open in Ocho","",1000,"crazy8","{}",1,32,"iap_game_crazy8_pinata.webp","iap_game_crazy8_pinata_preview.webp","","","","","","","",1046,0,"",""
"649",6,"Puss in Sock**","This is mine now. Meow","",500,"","{}",1,116,"iap_badge_pussinsock.webp","iap_badge_pussinsock_preview.webp","iap_badge_pussinsock_54x54.webp","","","","","","",-1,0,"",""
"883",7,"Pew Pew","* Exclusive Tournament prize","",2500,"","{}",1,819,"iap_banner_pewpew.webp","iap_banner_pewpew_anim.webp","","iap_banner_pewpew_anim.webp","","","","","",-1,0,"",""
"965",7,"Crystal Snow**","Pretty snowflakes fall from the sky\, whirling and twisting\, just for you","",7000,"","{}",1,770,"iap_banner_crystalsnow.webp","iap_banner_crystalsnow_anim.webp","","iap_banner_crystalsnow_anim.webp","","","","","",-1,0,"",""
"977",7,"Simulated Reality","Iconic binary digital code rain","",3500,"","{}",0,835,"iap_banner_matrix.webp","iap_banner_matrix_anim.webp","","iap_banner_matrix_anim.webp","","","","","",-1,0,"",""
"775",6,"Phoenix Emblem","* Exclusive Nowruz Tournament prize","",500,"","{}",1,258,"iap_badge_phoenix.webp","iap_badge_phoenix_preview.webp","iap_badge_phoenix_54x54.webp","","","","","","",-1,0,"",""
"2146",8,"Pointer Arrow Cue**","The standard arrow pointer cursor in Plato 95 (special sound fx)","",10000,"pool","{}",1,1235,"iap_game_pool_pointerarrow_2.webp","iap_game_pool_pointerarrow_preview_2.webp","","","","","","","",1146,0,"",""
"20070",1,"Basketball Frame","* Exclusive Tournament prize","",4000,"","{}",1,248,"iap_frame_basketball.webp","iap_frame_basketball_preview.webp","","iap_frame_basketball_350x350.webp","","","","","",-1,0,"","over"
"60018",6,"Just LOVE*","It shouldn't matter who you love","",250,"","{}",1,444,"iap_badge_pridelove.webp","iap_badge_pridelove_preview.webp","iap_badge_pridelove_54x54.webp","","","","","","",-1,0,"",""
"4075",8,"Corn Card","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,581,"iap_game_crazy8_corn.webp","iap_game_crazy8_corn_preview.webp","","","","","","","",1075,0,"",""
"29083",7,"Hyperdrive**","Travel through space to discover new planets","",5000,"","{}",1,1451,"iap_banner_hyperdrive.webp","iap_banner_hyperdrive_anim.webp","","iap_banner_hyperdrive_anim.webp","","","","","",-1,0,"",""
"752",6,"Chinese Drums","* Exclusive Tournament prize","",1000,"","{}",1,241,"iap_badge_chinesedrums.webp","iap_badge_chinesedrums_preview.webp","iap_badge_chinesedrums_54x54.webp","","","","","","",-1,0,"",""
"798",6,"Falafel","* Exclusive Eid Tournament prize","",500,"","{}",1,83,"iap_badge_falafel.webp","iap_badge_falafel_preview.webp","iap_badge_falafel_54x54.webp","","","","","","",-1,0,"",""
"4040",8,"Kareem*","May you be showered with peace\, joy and prosperity","",5000,"crazy8","{}",1,34,"iap_game_crazy8_kareem.webp","iap_game_crazy8_kareem_preview.webp","","","","","","","",1040,0,"",""
"4062",8,"Jeans*","100% Made in America","",750,"crazy8","{}",1,476,"iap_game_crazy8_jeans.webp","iap_game_crazy8_jeans_preview.webp","","","","","","","",1062,0,"",""
"967",7,"Snow Carol**","Here we have some snowmen carols to help you celebrate Christmas","",2000,"","{}",1,769,"iap_banner_snowcarol.webp","iap_banner_snowcarol_asset.webp","","iap_banner_snowcarol_asset.webp","","","","","",-1,0,"",""
"2138",8,"Zodiac Cue","Guide your stars to victory with this zodiac sign imbued cue (special sound fx)","",3000,"pool","{}",0,1110,"iap_game_pool_zodiac.webp","iap_game_pool_zodiac_preview.webp","","","","","","","",1138,0,"",""
"60210",6,"Burn CD**","Do you put it in the fire?","",500,"","{}",1,1248,"iap_badge_burncd.webp","iap_badge_burncd_preview.webp","iap_badge_burncd_54x54.webp","","","","","","",-1,0,"",""
"60059",6,"Grog","Warning: Consuming Grog may impact your ability to sail","",500,"","{}",0,838,"iap_badge_grog.webp","iap_badge_grog_preview.webp","iap_badge_grog_54x54.webp","","","","","","",-1,0,"",""
"851",7,"Mobile Gear**","All systems are go","",3000,"","{}",1,1418,"iap_banner_mobilegear.webp","iap_banner_mobilegear_asset.webp","","iap_banner_mobilegear_asset.webp","","","","","",-1,0,"",""
"7002",8,"Girlzilla","Wreak havoc with the Girlzilla sticker in Cup Pong","",250,"cuppong","{}",0,375,"iap_game_cuppong_girlzilla.webp","iap_game_cuppong_girlzilla_preview.webp","","","","","","","",1002,0,"",""
"20030",1,"Lifesaver","* Exclusive Tournament prize","",1000,"","{}",1,40,"iap_frame_lifesaver.webp","iap_frame_lifesaver_preview.webp","","iap_frame_lifesaver_350x350.webp","","","","","",-1,0,"","under"
"29107",7,"Ride the Wave","Surfing is a way to be free","",1500,"","{}",0,1669,"iap_banner_surferdog.webp","iap_banner_surferdog_asset.webp","","iap_banner_surferdog_asset.webp","","","","","",-1,0,"",""
"4073",8,"Rastafar","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,557,"iap_game_crazy8_rastafar.webp","iap_game_crazy8_rastafar_preview.webp","","","","","","","",1073,0,"",""
"60261",6,"Survival Satchel","* Exclusive Tournament Prize!","",1000,"","{}",1,1609,"iap_badge_satchel.webp","iap_badge_satchel_preview.webp","iap_badge_satchel_54x54.webp","","","","","","",-1,0,"",""
"206",2,"75\,000 Coins","75\,000 Coins","com.plato.android.coinsxxxl",0,"","{}",0,291,"iap_platocoins_bundle_xxxl.webp","iap_platocoins_bundle_xxxl_preview.webp","","","","","","","",-1,0,"",""
"894",7,"Be My Valentine**","I only have eyes for you","",2000,"","{}",1,966,"iap_banner_myvalentine.webp","iap_banner_myvalentine_asset.webp","","iap_banner_myvalentine_asset.webp","","","","","",-1,0,"",""
"902",7,"Celtic Forest*","Turn left at the fairy trail ","",1000,"","{}",1,231,"iap_banner_celticforest.webp","iap_banner_celticforest_asset.webp","","iap_banner_celticforest_asset.webp","","","","","",-1,0,"",""
"2147",8,"Red Pixel Cue","What if changing the world was just about getting your aim better?  (special sound fx)","",95000,"pool","{}",0,275,"iap_game_pool_redpixel_2.webp","iap_game_pool_redpixel_preview_2.webp","","","","","","","",1147,0,"",""
"29109",7,"Watermelon Flavor","Summer has a flavor like no other","",1500,"","{}",0,1667,"iap_banner_watermelonseason.webp","iap_banner_watermelonseason_asset.webp","","iap_banner_watermelonseason_asset.webp","","","","","",-1,0,"",""
"4149",8,"Cinderella Card**","Whatever you wish for you keep","",2000,"crazy8","{}",1,1511,"iap_game_crazy8_cinderella.webp","iap_game_crazy8_cinderella_preview.webp","","","","","","","",1149,0,"",""
"60166",6,"Choco Heart","* Exclusive Tournament prize","",1000,"","{}",1,1007,"iap_badge_chocolateheart.webp","iap_badge_chocolateheart_preview.webp","iap_badge_chocolateheart_54x54.webp","","","","","","",-1,0,"",""
"801",7,"Cozy Cafe","For everyone who likes to grab a cup of coffee and chill","",500,"","{}",0,1035,"iap_banner_cozycafe.webp","iap_banner_cozycafe_asset.webp","","iap_banner_cozycafe_asset.webp","","","","","",-1,0,"",""
"4071",8,"Titania","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,530,"iap_game_crazy8_titania.webp","iap_game_crazy8_titania_preview.webp","","","","","","","",1071,0,"",""
"8040",8,"Herringbone Ball","* Exclusive Bowling Tournament Prize!","",4000,"bowling","{}",1,1369,"iap_game_bowling_ball_herringbone.webp","iap_game_bowling_ball_herringbone_preview.webp","","","","","","","",1040,0,"",""
"20053",1,"Leprechaun Hat*","Show you're ready for a little mischief","",500,"","{}",1,226,"iap_frame_leprechaunhat.webp","iap_frame_leprechaunhat_preview.webp","","iap_frame_leprechaunhat_350x350.webp","","","","","",-1,0,"","over"
